source,target,commodity_code,weight
NE,CA,02,468652802.4576254
NE,CO,02,324865611.86937714
NE,IL,02,275126216.1823273
NE,IA,02,23982408.474517822
NE,KS,02,51066881.53961182
NE,NY,02,75428046.01611328
NE,SD,02,1584680.0
NE,TN,02,114749619.6040039
NE,TX,02,494459898.76651
NJ,DE,02,21586855.75820923
NJ,GA,02,25802.0
NJ,MD,02,15164456.835449219
NJ,NY,02,2438347.90045166
NJ,PA,02,63549432.04452515
NJ,WI,02,278544.0051269531
NM,CA,02,55555.3984375
NM,FL,02,7500965.80078125
NM,ME,02,55362.400390625
NM,MI,02,109694.900390625
NM,MO,02,55789.400390625
NM,NY,02,82230.099609375
NM,PA,02,28212.69921875
NM,TX,02,22752171.23803711
NM,VA,02,27276.30078125
NY,CA,02,43005489.83872223
NY,DE,02,24912160.0
NY,FL,02,9459913.325714111
NY,GA,02,44679589.251083374
NY,IL,02,53221610.34669495
NY,IN,02,51499015.4101944
NY,MD,02,159871.4053955078
NY,MI,02,2179736.3306121826
NY,NJ,02,554674.6814575195
NY,PA,02,147232629.2155304
NY,TN,02,2249615.071105957
NY,TX,02,32110657.28816223
NY,VT,02,5928425.904800415
NY,VA,02,540790.5029907227
NC,GA,02,30769279.061523438
NC,SC,02,22337919.93383789
NC,VA,02,24778173.58642578
ND,AZ,02,6248537.814785004
ND,AR,02,28764.0
ND,CA,02,15031171.398071289
ND,ID,02,895593.9712905884
ND,IL,02,171936114.62878418
ND,IN,02,2174942.8003234863
ND,IA,02,174243495.02770996
ND,KS,02,1486935.3950691223
ND,MN,02,783346421.5392313
ND,MO,02,81810322.40478134
ND,MT,02,868877.313753128
ND,NE,02,76904229.13380432
ND,NJ,02,52297833.590667725
ND,NM,02,21359934.977069855
ND,NY,02,9313479.759410858
ND,NC,02,124410795.47505188
ND,OK,02,3519796.159072876
ND,OR,02,5307727.838378906
ND,PA,02,11905647.490127563
ND,SD,02,182382985.19893837
ND,TN,02,203928.0
ND,TX,02,426727.19202041626
ND,VA,02,41275232.00494385
ND,WA,02,521374249.1336422
ND,WI,02,155010081.08207703
OH,AR,02,220997.80751037598
OH,CA,02,708.0000114440918
OH,CO,02,858885.8111572266
OH,GA,02,5113624.572250366
OH,IN,02,733462826.5799942
OH,IA,02,106445.60363769531
OH,KS,02,50172.00084686279
OH,KY,02,3846276.6647224426
OH,MI,02,7494041.5
OH,MO,02,622349.8106613159
OH,NH,02,808081.4065628052
OH,NJ,02,217668.60284423828
OH,NY,02,212297.39265441895
OH,NC,02,265597146.7244606
OH,PA,02,71194955.18007278
OH,SC,02,220503963.4237671
OH,TN,02,3265063.456008911
OH,VA,02,6142774.756965637
OH,WV,02,12183813.435791016
OK,AR,02,8015330.464111328
OK,KS,02,2730839.4808807373
OK,LA,02,449239393.42876244
OK,MO,02,446997.5942001343
OK,NE,02,40089649.712402344
OK,TX,02,14036390.860351562
OR,CA,02,10890274.756713867
OR,CO,02,710989.4773864746
OR,FL,02,1824570.0
OR,ID,02,24813.599487304688
OR,IL,02,22986261.666534424
OR,IN,02,2441753.0
OR,MD,02,1428931.7772521973
OR,NJ,02,1187495.437927246
OR,NY,02,771279.1756591797
OR,NC,02,1590918.274673462
OR,OH,02,9392263.79812622
OR,PA,02,601937.9904174805
OR,TX,02,10275751.738189697
OR,WA,02,609637.6098022461
OR,WI,02,1590151.474685669
PA,CT,02,770.1999816894531
PA,DE,02,3147453.5
PA,MD,02,13777672.265136719
PA,MA,02,9718452.331726074
PA,MI,02,22831908.911346436
PA,NJ,02,1619287.8978309631
PA,NY,02,1132692.4260559082
PA,OH,02,9019752.147583008
PA,TN,02,1959660.6277770996
PA,VA,02,10923718.130027771
SC,NC,02,4302436.0154418945
SD,AZ,02,16457092.47076416
SD,CA,02,135175569.35614777
SD,ID,02,2133712.480606079
SD,IL,02,457821606.8363037
SD,IA,02,324887708.3238611
SD,KS,02,31098743.568740845
SD,MN,02,617200464.7965317
SD,MO,02,20143504.788970947
SD,MT,02,348940.59114074707
SD,NE,02,48397132.45561981
SD,NC,02,3662102.0754318237
SD,ND,02,8184013.53219223
SD,PA,02,8333374.693527222
SD,TN,02,60724754.924575806
SD,TX,02,104159559.57548523
SD,UT,02,1869755.2147216797
SD,WA,02,178687137.2234192
SD,WI,02,22233794.583892822
TN,AL,02,126907686.79480743
TN,FL,02,21903241.4082489
TN,GA,02,299359238.69247055
TN,KY,02,3743489.7470550537
TN,MS,02,40868402.29476929
TN,NY,02,3506236.423034668
TN,NC,02,809482.7043190002
TX,AL,02,17898725.020874023
TX,AZ,02,7775384.652709961
TX,AR,02,9544274.346313477
TX,CA,02,32290962.151000977
TX,CO,02,338293752.80615234
TX,GA,02,96275960.86547852
TX,ID,02,6698358.312011719
TX,IL,02,30048747.270507812
TX,IN,02,43711943.55456543
TX,KS,02,1080332.9663085938
TX,LA,02,52944333.22692871
